City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Isangel,VU,-19.55,169.27,76.75,80,100,9.06,overcast clouds
258,Srednekolymsk,RU,67.45,153.68,-4.38,85,0,8.86,clear sky
259,Brae,GB,60.4,-1.35,44.6,81,100,23.04,light rain
260,Hovd,MN,48.01,91.64,31.32,77,100,8.79,overcast clouds
261,Alta Floresta,BR,-9.88,-56.09,75.78,75,59,1.59,broken clouds
262,Maroantsetra,MG,-15.43,49.73,70.56,84,98,6.17,light rain
263,Quang Ngai,VN,15.12,108.8,76.53,84,100,10.98,light rain
264,Komsomolskiy,UZ,40.43,71.72,39.2,41,0,9.17,clear sky
265,Tambura,SS,5.6,27.47,69.76,92,88,1.43,overcast clouds
266,Calnali,MX,20.92,-98.58,53.33,100,67,1.34,broken clouds
267,Hambantota,LK,6.12,81.12,77.0,100,40,3.4,scattered clouds
268,Iqaluit,CA,63.75,-68.51,14.0,78,20,25.28,few clouds
269,Menongue,AO,-14.66,17.69,63.36,85,100,6.98,light rain
270,Kashi,CN,39.45,75.98,39.2,41,0,11.18,clear sky
271,Bavleny,RU,56.4,39.56,39.52,94,1,7.63,clear sky
272,Kavieng,PG,-2.57,150.8,86.13,68,100,5.57,light rain
273,Pemba,MZ,-12.97,40.52,75.2,94,20,4.7,few clouds
274,Geraldton,AU,-28.77,114.6,78.8,34,20,16.11,few clouds
275,Newport,GB,51.59,-3.0,37.0,90,0,4.72,clear sky
276,Yar-Sale,RU,66.83,70.83,25.93,99,100,4.07,light snow
277,Kununurra,AU,-15.77,128.73,95.0,41,96,9.17,overcast clouds
278,Mount Isa,AU,-20.73,139.5,100.4,16,0,6.93,clear sky
279,Kargil,IN,34.57,76.1,28.67,77,0,1.99,clear sky
280,Shitkino,RU,56.37,98.35,27.61,96,100,9.57,light snow
281,Swabi,PK,34.12,72.47,58.37,32,0,3.13,clear sky
282,Chama,CH,47.18,8.46,48.99,93,90,1.88,overcast clouds
